date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/11,False,n/a,0.0
4/12,True,n/a,7.2
4/14,True,n/a,0.0
4/16,False,n/a,3.55
4/18,False,n/a,2.84
4/20,True,n/a,2.45
4/21,False,n/a,1.8
4/24,True,n/a,2.89
4/25,True,n/a,4.59
4/28,True,n/a,2.63
4/29,False,n/a,5.0
4/30,False,n/a,2.96
5/2,True,n/a,4.1
5/4,True,n/a,3.75
5/5,False,n/a,8.03
5/8,True,n/a,3.15
5/9,False,n/a,3.93
5/11,True,n/a,5.28
5/12,True,n/a,1.98
5/14,False,n/a,3.4
5/15,False,n/a,2.08
5/17,True,n/a,4.81
5/18,False,n/a,2.78
5/20,False,n/a,3.91
5/21,True,n/a,4.27
5/22,True,n/a,2.89
5/23,True,n/a,6.24
5/25,False,Suspended-Valid.,2.03
5/26,True,n/a,2.68
5/29,True,n/a,3.07
5/30,True,n/a,2.95
5/31,True,n/a,2.03
6/1,True,n/a,3.12
6/2,False,n/a,3.22
6/3,True,n/a,3.5
6/4,True,n/a,3.6
6/5,True,n/a,3.03
6/6,True,n/a,3.68
6/8,True,n/a,3.6
6/9,True,n/a,5.49
6/10,True,n/a,2.95
6/12,True,n/a,5.04
6/13,True,n/a,3.21
6/15,True,n/a,4.76
6/16,False,n/a,4.04
6/17,True,n/a,1.16
6/18,True,n/a,7.28
6/19,True,n/a,3.74
6/20,True,n/a,2.36
6/22,True,n/a,5.79
6/23,True,n/a,3.91
6/24,False,n/a,2.59
6/25,False,n/a,2.69
6/26,True,n/a,3.31
6/27,False,n/a,4.18
6/28,True,n/a,4.21
6/29,False,n/a,3.68
6/30,True,n/a,3.0
7/1,True,n/a,2.72
7/2,True,n/a,2.44
7/3,True,n/a,4.68
7/4,True,n/a,4.76
7/6,True,n/a,6.98
7/7,True,n/a,inf
7/8,True,n/a,4.19
7/9,True,n/a,3.85
7/10,False,n/a,4.81
7/11,True,n/a,5.93
7/15,True,n/a,3.29
7/16,False,n/a,4.2
7/17,True,n/a,4.24
7/18,True,n/a,4.36
7/19,True,n/a,5.13
7/20,False,n/a,5.32
7/21,True,n/a,4.67
7/22,True,n/a,5.77
7/23,True,n/a,4.58
7/24,True,n/a,5.21
7/25,True,n/a,4.87
7/26,True,n/a,3.59
7/27,True,n/a,4.39
7/28,True,n/a,5.74
7/30,True,n/a,3.57
7/31,True,n/a,2.75
8/1,True,n/a,6.4
8/2,True,n/a,inf
8/3,False,n/a,3.08
8/4,True,n/a,2.9
8/5,True,n/a,4.22
8/6,True,n/a,1.5
8/7,False,n/a,3.78
8/8,False,n/a,5.98
8/10,True,n/a,4.54
8/11,False,n/a,3.3
8/12,True,n/a,3.49
8/13,True,n/a,3.51
8/14,False,n/a,2.56
8/17,True,n/a,3.19
8/18,True,n/a,3.7
8/19,False,n/a,4.05
8/20,True,n/a,3.44
8/21,True,n/a,5.41
8/22,False,n/a,3.09
8/23,False,n/a,5.45
8/24,True,n/a,3.37
8/25,False,n/a,3.02
8/26,True,n/a,3.62
8/27,True,n/a,3.44
8/28,True,n/a,3.87
8/29,False,n/a,4.57
8/31,True,n/a,4.04
9/1,True,n/a,3.6
9/2,True,n/a,3.58
9/3,False,n/a,4.77
9/4,False,n/a,3.56
9/5,True,n/a,2.88
9/6,True,n/a,6.59
9/7,True,n/a,5.95
9/8,False,n/a,3.87
9/10,False,n/a,4.05
9/11,True,n/a,3.38
9/12,False,n/a,4.4
9/14,True,n/a,3.54
9/15,False,n/a,3.91
9/16,True,n/a,3.99
9/17,False,n/a,2.94
9/18,False,n/a,3.56
9/19,True,n/a,1.69
9/20,True,n/a,4.02
9/21,True,n/a,3.81
9/24,False,n/a,3.46
9/25,True,n/a,4.93
9/26,True,n/a,5.22
9/27,True,n/a,5.05
9/28,True,n/a,7.21
9/29,True,n/a,4.92
9/30,False,n/a,2.81
10/1,True,n/a,3.79
10/2,True,n/a,3.63
10/3,False,n/a,5.56
