date,hitVal,otherInfo,opPitcherEra
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,3.86
4/12,True,n/a,1.13
4/13,True,n/a,0.0
4/14,False,n/a,3.52
4/15,True,n/a,4.09
4/16,False,n/a,2.77
4/17,True,n/a,3.46
4/18,True,n/a,0.0
4/19,False,n/a,1.5
4/20,False,n/a,5.56
4/21,False,n/a,3.1
4/23,True,n/a,8.44
4/24,True,n/a,5.63
4/25,True,n/a,6.38
4/27,True,n/a,2.19
4/28,False,n/a,3.0
4/29,True,n/a,3.2
4/30,True,n/a,5.09
5/1,True,n/a,inf
5/2,True,n/a,7.22
5/3,False,n/a,3.12
5/4,False,n/a,2.43
5/6,False,n/a,3.73
5/8,True,n/a,1.5
5/9,True,n/a,5.79
5/11,True,n/a,2.4
5/12,True,n/a,6.21
5/13,False,n/a,4.3
5/14,True,n/a,5.24
5/15,True,n/a,3.43
5/16,True,n/a,5.06
5/17,True,n/a,5.22
5/18,True,n/a,2.73
5/19,True,n/a,4.93
5/20,True,n/a,5.89
5/21,True,n/a,3.15
5/22,True,n/a,5.86
5/23,True,n/a,6.02
5/25,True,n/a,3.45
5/26,True,n/a,3.68
5/27,True,n/a,3.46
5/28,False,n/a,2.82
5/29,False,n/a,4.11
5/30,True,n/a,3.43
6/1,True,n/a,6.86
6/2,False,n/a,2.7
6/3,True,n/a,4.16
6/4,False,n/a,2.73
6/5,True,n/a,2.97
6/6,True,n/a,4.95
6/8,True,n/a,2.55
6/9,True,n/a,4.14
6/10,True,n/a,3.73
6/11,True,n/a,3.2
6/12,True,n/a,3.8
6/13,True,n/a,2.23
6/14,False,n/a,2.82
6/15,True,n/a,inf
6/16,False,n/a,3.12
6/18,False,n/a,3.05
6/19,True,n/a,2.71
6/20,True,n/a,3.07
6/22,True,n/a,3.22
6/23,True,n/a,4.9
6/24,True,n/a,4.44
6/25,True,n/a,3.55
6/26,True,n/a,2.82
6/27,True,n/a,4.52
6/29,False,n/a,4.71
6/30,True,n/a,5.02
7/1,True,n/a,2.88
7/2,True,n/a,5.21
7/3,False,n/a,2.86
7/4,True,n/a,4.46
7/5,True,n/a,3.0
7/6,True,n/a,4.5
7/7,True,n/a,4.88
7/8,False,n/a,1.98
7/9,True,n/a,5.51
7/10,True,n/a,1.13
7/11,True,n/a,3.24
7/16,False,n/a,3.71
7/17,True,n/a,4.86
7/18,True,n/a,3.44
7/19,False,n/a,4.69
7/20,True,n/a,4.05
7/21,True,n/a,4.86
7/22,False,n/a,3.48
7/23,True,n/a,1.68
7/24,False,n/a,5.15
7/26,True,n/a,4.71
7/27,True,n/a,3.52
7/28,False,n/a,inf
7/29,False,n/a,5.52
7/30,False,n/a,9.0
7/31,True,n/a,4.01
8/1,True,n/a,4.83
8/3,False,n/a,6.47
8/4,True,n/a,3.65
8/5,True,n/a,2.64
8/6,True,n/a,3.4
8/7,True,n/a,3.54
8/8,True,n/a,4.05
8/9,True,n/a,1.29
8/10,False,n/a,5.4
8/11,True,n/a,2.79
8/12,True,n/a,1.56
8/13,True,n/a,4.91
8/14,True,n/a,3.98
8/15,True,n/a,1.29
8/16,True,n/a,3.86
8/17,False,n/a,4.96
8/18,False,n/a,3.31
8/19,False,n/a,3.28
8/20,False,n/a,3.2
8/21,False,n/a,2.99
8/24,False,n/a,3.97
8/31,True,n/a,6.5
9/1,True,n/a,3.12
9/7,True,n/a,3.02
9/8,True,n/a,2.9
9/10,True,n/a,3.89
9/11,True,n/a,3.52
9/12,False,n/a,3.53
9/13,True,n/a,6.48
9/14,True,n/a,5.07
9/15,False,n/a,inf
9/17,True,n/a,5.18
9/18,True,n/a,3.03
9/19,True,n/a,2.88
9/20,False,n/a,4.83
9/21,True,n/a,2.48
9/22,False,n/a,4.63
9/24,False,n/a,4.25
9/25,True,n/a,3.75
9/26,True,n/a,3.77
9/27,False,n/a,4.13
9/28,False,n/a,2.84
9/29,True,n/a,4.49
10/1,True,n/a,5.19
10/3,True,n/a,3.64
