date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,False,n/a,4.5
4/12,True,n/a,13.5
4/14,True,n/a,7.2
4/15,True,n/a,inf
4/16,True,n/a,6.0
4/17,False,n/a,5.69
4/18,False,n/a,3.6
4/20,True,n/a,2.38
4/21,True,n/a,2.84
4/22,True,n/a,4.67
4/23,False,n/a,3.0
4/24,False,n/a,5.65
4/25,True,n/a,3.5
4/26,False,n/a,1.86
4/27,True,n/a,8.16
4/28,True,n/a,1.0
4/30,False,n/a,3.68
5/1,True,n/a,0.69
5/2,True,n/a,2.08
5/3,False,n/a,1.04
5/4,False,n/a,2.13
5/5,True,n/a,1.56
5/6,True,n/a,5.28
5/7,True,n/a,5.18
5/8,True,n/a,2.55
5/9,False,n/a,5.47
5/10,True,n/a,6.35
5/12,True,n/a,6.03
5/14,True,n/a,3.95
5/15,True,n/a,5.07
5/16,True,n/a,4.24
5/17,True,n/a,9.19
5/18,True,n/a,5.56
5/19,True,n/a,3.6
5/20,False,n/a,3.5
5/21,True,n/a,4.86
5/22,False,n/a,7.9
5/23,False,n/a,5.31
5/25,True,n/a,3.0
5/26,False,n/a,2.53
5/27,False,n/a,2.86
5/28,True,n/a,4.31
5/29,False,n/a,2.43
5/30,False,n/a,3.23
5/31,False,n/a,4.06
6/1,True,n/a,2.24
6/2,True,n/a,4.86
6/4,True,n/a,3.08
6/5,True,n/a,2.15
6/6,True,n/a,4.55
6/7,True,n/a,3.67
6/8,True,n/a,4.08
6/10,True,n/a,2.1
6/11,True,n/a,4.72
6/12,False,n/a,4.51
6/13,True,n/a,5.48
6/15,False,n/a,4.01
6/16,True,n/a,3.87
6/17,True,n/a,2.47
6/18,True,n/a,4.97
6/19,True,n/a,3.84
6/20,True,n/a,3.92
6/22,True,n/a,4.21
6/23,True,n/a,4.77
6/24,False,n/a,3.31
6/25,True,n/a,6.75
6/26,True,n/a,3.24
6/27,True,n/a,4.06
6/28,True,n/a,3.97
6/29,True,n/a,2.92
6/30,True,n/a,5.08
7/1,True,n/a,11.01
7/2,True,n/a,4.9
7/3,True,n/a,3.98
7/4,False,n/a,4.46
7/5,True,n/a,4.53
7/6,True,n/a,5.59
7/7,True,n/a,3.01
7/8,False,n/a,3.56
7/9,True,n/a,3.38
7/10,False,n/a,3.22
7/11,False,n/a,4.77
7/15,True,n/a,3.62
7/16,True,n/a,4.08
7/17,True,n/a,4.61
7/18,True,n/a,3.16
7/19,True,n/a,4.73
7/20,True,n/a,3.16
7/21,True,n/a,2.27
7/22,True,n/a,2.02
7/23,True,n/a,4.56
7/24,True,n/a,2.38
7/25,True,n/a,4.63
7/26,False,n/a,4.23
7/27,True,n/a,4.58
7/28,False,n/a,5.01
7/29,False,n/a,inf
7/30,False,n/a,5.5
8/1,False,n/a,5.76
8/21,True,n/a,2.97
8/22,True,n/a,5.14
8/23,False,n/a,3.11
8/24,False,n/a,5.23
8/26,False,n/a,4.0
8/27,True,n/a,2.33
8/28,False,n/a,3.25
8/30,False,n/a,3.56
8/31,True,n/a,3.54
9/1,True,n/a,3.01
9/2,True,n/a,3.8
9/3,True,n/a,5.07
9/4,True,n/a,4.72
9/5,False,n/a,4.76
9/6,True,n/a,inf
9/7,True,n/a,4.82
9/8,True,n/a,3.6
9/10,True,n/a,3.86
9/11,True,n/a,3.96
9/12,True,n/a,3.85
9/13,True,n/a,6.16
9/14,False,n/a,0.0
9/15,False,n/a,5.82
9/17,True,n/a,6.61
9/18,True,n/a,5.29
9/19,True,n/a,6.55
9/20,True,n/a,inf
9/21,True,n/a,5.84
9/22,False,n/a,3.62
9/24,True,n/a,2.92
9/25,True,n/a,1.8
9/26,True,n/a,4.44
9/27,False,n/a,4.58
9/28,True,n/a,7.18
10/1,True,n/a,2.89
10/2,False,n/a,3.42
10/3,False,n/a,2.76
