date,hitVal,otherInfo,opPitcherEra
4/9,True,n/a,inf
4/13,False,n/a,1.29
4/14,False,n/a,9.0
4/18,True,n/a,3.21
4/22,False,n/a,4.5
4/28,False,n/a,4.59
5/1,True,n/a,9.01
5/7,True,n/a,3.12
5/14,True,n/a,8.24
5/18,True,n/a,6.08
5/24,True,n/a,5.65
5/30,True,n/a,2.99
6/1,True,n/a,5.15
6/2,True,n/a,5.84
6/3,False,n/a,3.41
6/4,True,n/a,5.87
6/6,False,n/a,4.36
6/8,False,n/a,2.57
6/9,True,n/a,5.26
6/10,True,n/a,6.67
6/15,False,n/a,7.5
6/17,True,n/a,4.95
6/18,True,n/a,2.19
6/19,True,n/a,4.19
6/22,True,n/a,3.38
6/23,True,n/a,2.34
6/25,False,n/a,5.11
6/26,False,n/a,3.01
6/27,True,n/a,3.56
6/28,False,n/a,4.77
6/30,True,n/a,3.72
7/2,False,n/a,3.28
7/4,False,n/a,5.48
7/8,False,n/a,3.95
7/10,True,n/a,5.44
7/11,True,n/a,5.24
7/15,True,n/a,4.64
7/17,True,n/a,3.58
7/18,True,n/a,6.41
7/19,True,n/a,1.0
7/20,True,n/a,3.5
7/21,True,n/a,2.9
7/23,True,n/a,3.19
7/24,False,n/a,3.5
7/26,True,n/a,2.75
7/29,True,n/a,2.18
8/3,False,n/a,5.5
8/4,True,n/a,4.28
8/5,True,n/a,4.28
8/7,True,n/a,6.05
8/8,True,n/a,4.21
8/10,False,n/a,4.7
8/11,True,n/a,inf
8/12,True,n/a,3.33
8/13,True,n/a,4.97
8/14,True,n/a,5.74
8/17,True,n/a,4.76
8/18,False,n/a,3.26
8/19,True,n/a,3.27
8/21,True,n/a,0.0
8/22,True,n/a,3.9
8/24,False,n/a,3.97
8/25,False,n/a,4.97
8/26,False,n/a,4.9
8/27,True,n/a,4.85
8/29,False,n/a,2.16
8/30,True,n/a,4.45
8/31,False,n/a,5.23
9/1,False,n/a,inf
9/4,True,n/a,2.21
9/5,True,n/a,6.21
9/6,True,n/a,3.45
9/7,True,n/a,3.61
9/8,True,n/a,5.25
9/9,True,n/a,5.2
9/11,False,n/a,5.09
9/12,True,n/a,6.9
9/14,True,n/a,3.24
9/15,False,n/a,2.02
9/16,True,n/a,3.47
9/21,True,n/a,2.84
9/24,True,n/a,4.13
9/26,True,n/a,2.98
9/27,True,n/a,2.39
9/28,False,n/a,4.52
9/29,True,n/a,5.77
10/1,False,n/a,3.79
10/2,False,n/a,3.26
