date,hitVal,otherInfo,opPitcherEra
4/20,True,n/a,3.46
4/21,False,n/a,4.5
4/22,True,n/a,6.75
4/23,True,n/a,4.59
4/24,True,n/a,inf
4/25,True,n/a,16.55
4/27,True,n/a,8.31
4/28,True,n/a,3.92
4/29,False,n/a,7.43
5/1,False,n/a,3.28
5/2,False,n/a,5.79
5/3,True,n/a,inf
5/4,False,n/a,4.45
5/5,True,n/a,4.5
5/6,False,n/a,4.5
5/7,False,n/a,5.47
5/8,False,n/a,2.06
5/9,True,n/a,0.49
5/11,True,n/a,1.99
5/12,True,n/a,5.45
5/13,True,n/a,2.8
5/14,True,n/a,5.97
5/15,False,n/a,1.86
5/16,True,n/a,1.9
5/17,True,n/a,3.86
5/18,False,n/a,2.66
5/19,True,n/a,6.35
5/20,False,n/a,1.12
5/21,False,n/a,2.38
5/22,True,n/a,2.54
5/25,False,n/a,5.11
5/26,True,n/a,5.17
5/27,False,n/a,5.59
5/28,True,n/a,inf
5/29,False,n/a,5.98
5/30,True,n/a,2.7
5/31,False,n/a,4.82
6/1,True,n/a,5.6
6/2,True,n/a,5.01
6/3,True,n/a,1.5
6/4,True,n/a,6.13
6/5,True,n/a,3.73
6/6,True,n/a,4.4
6/7,False,n/a,6.09
6/8,False,n/a,3.7
6/9,True,n/a,5.0
6/10,False,n/a,3.77
6/11,False,n/a,2.47
6/12,False,n/a,5.63
6/15,True,n/a,5.48
6/16,False,n/a,4.02
6/17,True,n/a,inf
6/18,True,n/a,5.28
6/19,False,n/a,3.3
6/20,True,n/a,3.48
6/22,True,n/a,3.11
6/23,True,n/a,3.13
6/24,True,n/a,2.16
6/25,True,n/a,3.08
6/26,False,n/a,3.41
6/27,False,n/a,2.31
6/29,True,n/a,2.36
6/30,True,n/a,4.54
7/1,False,n/a,3.13
7/2,False,n/a,2.85
7/3,False,n/a,5.49
7/4,True,n/a,3.25
7/6,True,n/a,4.65
7/7,True,n/a,8.88
7/8,True,n/a,4.39
7/9,True,n/a,2.24
7/10,False,n/a,5.23
7/11,True,n/a,4.88
7/16,False,n/a,5.49
7/17,False,n/a,4.22
7/19,True,n/a,3.45
7/20,False,n/a,3.57
7/21,False,n/a,4.07
7/23,True,n/a,1.86
7/24,False,n/a,3.39
7/25,False,n/a,3.45
7/26,True,n/a,3.86
7/27,True,n/a,3.88
7/28,True,n/a,4.07
7/31,False,n/a,4.06
8/1,True,n/a,4.79
8/2,True,n/a,4.62
8/4,False,n/a,3.24
8/6,False,n/a,2.6
8/7,False,n/a,4.48
8/8,True,n/a,5.7
8/10,False,n/a,3.3
8/11,True,n/a,2.27
8/13,True,n/a,5.21
8/15,False,n/a,4.85
9/3,True,n/a,4.27
9/4,True,n/a,6.04
9/7,True,n/a,5.12
9/8,False,n/a,5.47
9/11,True,n/a,3.99
9/14,True,n/a,3.68
9/15,True,n/a,4.98
9/17,True,n/a,5.3
9/18,False,n/a,3.74
9/19,True,n/a,6.33
9/20,True,n/a,3.88
9/21,True,n/a,4.86
9/22,True,n/a,4.2
9/24,False,n/a,5.72
9/26,False,n/a,4.86
9/28,False,n/a,4.91
10/2,False,n/a,4.72
