date,hitVal,otherInfo,opPitcherEra
3/31,False,n/a,inf
4/1,True,n/a,inf
4/2,False,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,3.6
4/7,False,n/a,6.1
4/8,True,n/a,1.8
4/9,True,n/a,inf
4/10,True,n/a,1.69
4/11,True,n/a,4.05
4/13,True,n/a,0.73
4/14,True,n/a,5.79
4/15,False,n/a,7.15
4/18,False,n/a,2.6
4/19,True,n/a,6.77
4/20,True,n/a,2.51
4/24,True,n/a,1.98
4/25,True,n/a,2.31
4/26,False,n/a,40.6
4/27,False,n/a,4.74
4/29,True,n/a,3.0
4/30,True,n/a,2.59
5/1,False,n/a,1.7
5/2,True,n/a,7.81
5/3,True,n/a,3.49
5/6,True,n/a,4.66
5/7,True,n/a,3.63
5/8,False,n/a,4.17
5/9,True,n/a,4.86
5/10,False,n/a,3.96
5/12,True,n/a,2.89
5/13,False,n/a,4.38
5/14,True,n/a,3.57
5/15,True,n/a,3.26
5/16,True,n/a,6.14
5/17,False,n/a,5.09
5/19,False,n/a,3.22
5/20,True,n/a,4.44
5/21,True,n/a,2.75
5/23,True,n/a,3.49
5/27,False,n/a,4.0
5/28,True,n/a,11.25
5/30,True,n/a,4.85
5/31,True,n/a,5.65
6/1,True,n/a,5.22
6/2,True,n/a,3.36
6/3,True,n/a,5.49
6/4,True,n/a,5.71
6/5,False,n/a,3.09
6/6,True,n/a,5.61
6/7,True,n/a,5.56
6/10,True,n/a,5.61
6/11,True,n/a,4.61
6/12,True,n/a,3.68
6/13,True,n/a,6.86
6/14,False,n/a,3.68
6/15,True,n/a,inf
6/17,False,n/a,2.0
6/18,True,n/a,2.97
6/19,False,n/a,4.7
6/20,True,n/a,5.91
6/21,True,n/a,3.08
6/22,True,n/a,4.43
6/23,False,n/a,2.76
6/24,True,n/a,4.53
6/25,False,n/a,2.55
6/27,True,n/a,4.69
6/28,True,n/a,2.84
6/30,True,n/a,inf
7/1,True,n/a,2.97
7/2,True,n/a,4.32
7/4,True,n/a,3.85
7/5,True,n/a,6.14
7/6,False,n/a,4.67
7/7,True,n/a,4.29
7/9,True,n/a,5.91
7/10,True,n/a,4.82
7/11,True,n/a,2.8
7/12,True,n/a,3.04
7/13,False,n/a,2.18
7/17,True,n/a,4.57
7/18,True,n/a,4.67
7/19,True,n/a,4.27
7/21,False,n/a,5.13
7/22,True,n/a,3.0
7/23,True,n/a,2.77
7/24,True,n/a,2.45
7/26,True,n/a,4.43
7/27,True,n/a,4.54
7/29,False,n/a,4.37
7/30,True,n/a,3.38
7/31,False,n/a,3.26
8/1,True,n/a,5.37
8/2,True,n/a,inf
8/3,True,n/a,5.89
8/5,True,n/a,3.62
8/6,True,n/a,5.42
8/8,True,n/a,3.38
8/9,True,n/a,3.57
8/10,True,n/a,3.58
8/12,True,n/a,7.75
8/13,True,n/a,4.58
8/19,True,n/a,3.48
8/20,False,n/a,5.45
8/21,True,n/a,4.28
8/22,True,n/a,3.18
8/30,True,n/a,5.06
9/1,True,n/a,2.79
9/2,True,n/a,5.68
9/3,True,n/a,4.98
9/5,False,n/a,2.57
9/6,False,n/a,2.64
9/7,False,n/a,4.82
9/9,True,n/a,3.65
9/10,True,n/a,4.27
9/11,False,n/a,4.19
9/12,False,n/a,4.86
9/13,True,n/a,1.91
9/15,True,n/a,4.38
9/16,True,n/a,4.17
9/17,True,n/a,8.22
9/19,True,n/a,2.35
9/20,False,n/a,2.88
9/22,False,n/a,3.99
9/23,True,n/a,3.98
9/26,True,n/a,3.52
9/27,False,n/a,3.38
9/28,True,n/a,1.94
